HOSTNAME,TIME,NET,MEM,CPU
host-10-9-3-168,1432689280,2375276,479208,0.03
mosix1.curs.pub.ro,1432689280,2846300,509504,0.34
host-10-9-3-167,1432689279,2825276,372016,0.03
host-10-9-3-168,1432689281,2375276,479324,0.02
mosix1.curs.pub.ro,1432689281,2846304,509480,0.34
host-10-9-3-167,1432689281,2825280,372000,0.03
host-10-9-3-168,1432689283,2375284,479208,0.02
mosix1.curs.pub.ro,1432689283,2846304,509364,0.34
host-10-9-3-167,1432689282,2825280,372008,0.03
host-10-9-3-168,1432689284,2375284,478680,0.02
mosix1.curs.pub.ro,1432689284,2846308,509620,0.31
host-10-9-3-167,1432689284,2825284,366180,0.03
host-10-9-3-168,1432689310,2375288,478028,0.01
mosix1.curs.pub.ro,1432689311,2846312,509496,0.20
host-10-9-3-167,1432689310,2825288,366196,0.02
host-10-9-3-168,1432689312,2375292,480208,0.01
mosix1.curs.pub.ro,1432689312,2846312,509760,0.20
host-10-9-3-167,1432689312,2825292,366328,0.02
host-10-9-3-168,1432689313,2375292,480084,0.01
